;FieldID Pos_X Pos_Y
 1    2955    2365
 2    2665    2365
 3    2375    2365
 4    2085    2365
 5    1795    2365
 6    1505    2365
 7    1215    2365
 8     925    2365
 9     635    2365
10     345    2365
11      55    2365
12      55    2075
13      55    1785
14      55    1495
15      55    1205
16      55     915
17      55     625
18      55     335
19      55      45
20     345      45
21     635      45
22     925      45
23    1215      45
24    1505      45
25    1795      45
26    2085      45
27    2375      45
28    2665      45
29    2955      45
30    2955     335
31    2955     625
32    2955     915
;FieldID Pos_X Pos_Y
33    2955    1205
34    2955    1495
35    2955    1785
36    2955    2075
37    2665    2075
38    2375    2075
39    2085    2075
40    1795    2075
41    1505    2075
42    1215    2075
43     925    2075
44     635    2075
45     345    2075
46     345    1785
47     345    1495
48     345    1205
49     345     915
50     345     625
51     345     335
52     635     335
53     925     335
54    1215     335
55    1505     335
56    1795     335
57    2085     335
58    2375     335
59    2665     335
60    2665     625
61    2665     915
62    2665    1205
63    2665    1495
64    2665    1785
65    2665    2075
