;ID Ressource Percent  Price  Country
 1     1         5    500000    23
 2     2        15   1000000    23
 3     3        15   1500000    23
 4     4        20   2000000    23
 5     5        15   1500000    23
 6     6        35   3500000    23
 7     7        35   2000000    23
 8     7        15   1000000    23
 9     8        10    500000    17
10     9         5    500000    19
11     6        20   2000000    19
12    10        10    500000    19
13    11         5    500000    19
14    24        10    500000    19
15    24        20   1000000    19
16    24        15   1000000    19
17    24        20   1000000    19	
18    12        10   1000000    21
19     8        20   1500000    21
20    13         5    500000    21
21     1        40   4500000    22
22     7         5    500000    22
23     5        10   1000000    22
24     9        15   1500000    22	
25     9         5    500000    20
;ID Ressource Percent  Price   Country
26     8        40   2000000    20
27    12         5    500000    20	
28    10        10    500000    18	
29    14         5    500000     7
30     5         5    500000     7	
31     6         5    500000     6
32    15        15   1500000     6
33    17        10   1000000     3
34    16         5    500000     3
35    15        10   1000000     3	
36    16        10   1000000     5
37    18         5    500000     5
38    19         5    500000     5
39    19        10    500000     5	
40    20        10    500000     4
41    17         5    500000     4
42     8         5    500000     4
43     9        10   1000000     4
44    16        10   1000000     4	
45    16        15   1500000     2
46    18        10   1000000     2	
47    17        20   1500000     1
48     8         5    500000     1	
49    23        20   2500000     8
50    22        30   3000000     8
;ID Ressource Percent  Price   Country
51     2        20   1500000     8
52     1        30   2500000     8
53     4        30   3500000     8
54    15        20   2000000     8
55    12        20   2000000     8
56     5        25   2500000     8
57    18        25   3000000     8
58    20        30   3000000     8
59    14        25   2000000     8
60     7        20   1000000     8
61    13         5    500000     8	
62    21        10   1000000    29
63    11        25   1000000    29
64    10        10    500000    29	
65    11        15    500000    26
66    11        35   1500000    26
67    21        10   1000000    26
68    21        10   1000000    26
69     3        10   1000000    27
70    17        40   3000000    27
71    18        20   2000000    27
72    19         5    500000    27
73     1         5    500000    27 
74    16        20   2000000    27
;ID Ressource Percent  Price   Country
75    13        10    500000    27
76    21        10   1000000    27	
77    22        10   1000000    24
78    22        20   2000000    24
79    22         5    500000    24
80    11        10    500000    25
81    11         5    500000    25
82    13        35   2500000    25
83    13        15   1000000    25
84    23        15   1500000    25 
85    14         5    500000    25
86    14        15   1000000    25
87    15         5    500000    25
88     4         5    500000    25
89    21        20   2000000    25
90    20        15   1000000    25	
91    19        45   2000000    28
92    20        15   1000000    28
93     4        10   1000000    28
94    14        20   1500000    28
95    21        35   2500000    28
96    18         5    500000    28
97    13        25   1500000    28
98    23        10   1000000    28
99    15        20   2000000    28
;ID Ressource Percent  Price   Country	
100   23        15   1500000     9
101    5        10   1000000     9
102    6        20   2000000     9
103   12        20   2000000    13
104    3        15   1500000    13
105   10        15   1000000    13
106    2        10    500000    13
107   24         5    500000    13
108   19        10    500000    13	
109    3        20   2000000    10
110   10        15   1000000    10
111    2        10    500000    10
112    6         5    500000    12
113    6        10   1000000    12
114   22         5    500000    12	
115   23        20   2500000    11
116   24        20   1000000    11
117   17         5    500000    11
118   10        35   2000000    11
119    4        15   1500000    11
120    7        10    500000    15
121    7         5    500000    15
122    5        25   2500000    14
123   12        15   1500000    14
;ID Ressource Percent  Price   Country
124    3        15   1500000    14	
125    2        15   1000000    14
126   20        10    500000    14
127    9        20   2000000    14
128    1        10   1000000    14
129    8        15   1000000    14
130    9        40   3000000    16
131   19        20   1000000    16
132   22        25   2500000    16
133    2        20   1500000    16
134    4        15   1500000    16
135   16        30   3500000    16
136   17        15   1000000    16
137   14        25   2000000    16
138   12        25   2500000    16
139   23        10   1000000    16
140   15        25   3000000    16
141   18        25   3000000    16
142    3        15   1500000    16
143   20        15   1000000    16
144    1         5    500000    16
